player_name,game_date,team,starter,injury_status,health_status,suspension_status,family_context,expected_minutes,salary_dk,salary_fd,implied_team_total,game_total,spread,rest_days,travel_miles
Nate Williams,2026-03-05,GSW,0.0,,,,,,,,,,,,
Pat Spencer,2026-03-05,GSW,0.0,,,,,,,,,,,,
Quinten Post,2026-03-05,GSW,0.0,,,,,,,,,,,,
Seth Curry,2026-03-05,GSW,0.0,,,,,,,,,,,,
Stephen Curry,2026-03-05,GSW,0.0,,,,,,,,,,,,
Will Richard,2026-03-05,GSW,0.0,,,,,,,,,,,,
Anthony Edwards,2026-03-05,MIN,1.0,,,,,,,,,,,,
Ayo Dosunmu,2026-03-05,MIN,0.0,,,,,,,,,,,,
Bones Hyland,2026-03-05,MIN,0.0,,,,,,,,,,,,
Donte DiVincenzo,2026-03-05,MIN,1.0,,,,,,,,,,,,
Enrique Freeman,2026-03-05,MIN,0.0,,,,,,,,,,,,
Jaden McDaniels,2026-03-05,MIN,1.0,,,,,,,,,,,,
Jaylen Clark,2026-03-05,MIN,0.0,,,,,,,,,,,,
Joan Beringer,2026-03-05,MIN,0.0,,,,,,,,,,,,
Joe Ingles,2026-03-05,MIN,0.0,,,,,,,,,,,,
Johnny Juzang,2026-03-05,MIN,0.0,,,,,,,,,,,,
Julian Phillips,2026-03-05,MIN,0.0,,,,,,,,,,,,
Julius Randle,2026-03-05,MIN,1.0,,,,,,,,,,,,
Kyle Anderson,2026-03-05,MIN,0.0,,,,,,,,,,,,
Mike Conley,2026-03-05,MIN,0.0,,,,,,,,,,,,
Naz Reid,2026-03-05,MIN,0.0,,,,,,,,,,,,
Rocco Zikarsky,2026-03-05,MIN,0.0,,,,,,,,,,,,
Rudy Gobert,2026-03-05,MIN,1.0,,,,,,,,,,,,
Terrence Shannon Jr.,2026-03-05,MIN,0.0,,,,,,,,,,,,
A.J. Lawson,2026-03-05,TOR,0.0,,,,,,,,,,,,
Alijah Martin,2026-03-05,TOR,0.0,,,,,,,,,,,,
Brandon Ingram,2026-03-05,TOR,1.0,,,,,,,,,,,,
Chucky Hepburn,2026-03-05,TOR,0.0,,,,,,,,,,,,
Collin Murray-Boyles,2026-03-05,TOR,0.0,,,,,,,,,,,,
Garrett Temple,2026-03-05,TOR,0.0,,,,,,,,,,,,
Gradey Dick,2026-03-05,TOR,0.0,,,,,,,,,,,,
Immanuel Quickley,2026-03-05,TOR,1.0,,,,,,,,,,,,
Ja'Kobe Walter,2026-03-05,TOR,0.0,,,,,,,,,,,,
Jakob Poeltl,2026-03-05,TOR,1.0,,,,,,,,,,,,
Jamal Shead,2026-03-05,TOR,0.0,,,,,,,,,,,,
Jamison Battle,2026-03-05,TOR,0.0,,,,,,,,,,,,
Jonathan Mogbo,2026-03-05,TOR,0.0,,,,,,,,,,,,
Mo Bamba,2026-03-05,TOR,0.0,,,,,,,,,,,,
RJ Barrett,2026-03-05,TOR,1.0,,,,,,,,,,,,
Sandro Mamukelashvili,2026-03-05,TOR,0.0,,,,,,,,,,,,
Scottie Barnes,2026-03-05,TOR,1.0,,,,,,,,,,,,
Trayce Jackson-Davis,2026-03-05,TOR,0.0,,,,,,,,,,,,
Bismack Biyombo,2026-03-05,SAS,0.0,,,,,,,,,,,,
Carter Bryant,2026-03-05,SAS,0.0,,,,,,,,,,,,
David Jones Garcia,2026-03-05,SAS,0.0,,,,,,,,,,,,
De'Aaron Fox,2026-03-05,SAS,1.0,,,,,,,,,,,,
Devin Vassell,2026-03-05,SAS,1.0,,,,,,,,,,,,
Dylan Harper,2026-03-05,SAS,0.0,,,,,,,,,,,,
Harrison Barnes,2026-03-05,SAS,0.0,,,,,,,,,,,,
Harrison Ingram,2026-03-05,SAS,0.0,,,,,,,,,,,,
Jordan McLaughlin,2026-03-05,SAS,0.0,,,,,,,,,,,,
Julian Champagnie,2026-03-05,SAS,1.0,,,,,,,,,,,,
Keldon Johnson,2026-03-05,SAS,0.0,,,,,,,,,,,,
