player_key,player_name,hometown_teams,profile_updated_at,profile_source
dennis schr der,Dennis Schröder,ATL|CLE,2026-03-12T02:14:32.205967+00:00,https://en.wikipedia.org/wiki/Dennis_Schr%C3%B6der
dereck lively ii,Dereck Lively II,DAL,2026-03-12T08:08:35.654170+00:00,https://en.wikipedia.org/wiki/Dereck_Lively_II
derik queen,Derik Queen,ATL|NOP,2026-03-12T02:25:56.148510+00:00,https://en.wikipedia.org/wiki/Derik_Queen
derrick jones jr,Derrick Jones Jr.,LAC|LAL,2026-03-12T04:55:35.259378+00:00,https://en.wikipedia.org/wiki/Derrick_Jones_Jr.
derrick white,Derrick White,BOS|DEN,2026-03-12T22:57:32.043139+00:00,https://en.wikipedia.org/wiki/Derrick_White
desmond bane,Desmond Bane,BOS|MEM|ORL,2026-03-12T22:57:32.043139+00:00,https://en.wikipedia.org/wiki/Desmond_Bane
devin booker,Devin Booker,PHX,2026-03-12T22:57:32.043139+00:00,https://en.wikipedia.org/wiki/Devin_Booker
devin carter,Devin Carter,SAC,2026-03-12T04:17:02.221588+00:00,https://en.wikipedia.org/wiki/Devin_Carter
devin vassell,Devin Vassell,MIA|ORL|SAS,2026-03-12T22:57:32.043139+00:00,https://en.wikipedia.org/wiki/Devin_Vassell
dillon brooks,Dillon Brooks,HOU|MEM|PHX|POR,2026-03-12T22:05:56.641451+00:00,https://en.wikipedia.org/wiki/Dillon_Brooks
dillon jones,Dillon Jones,BKN|NYK,2026-03-10T03:16:11.320740+00:00,https://en.wikipedia.org/wiki/Dillon_Jones
domantas sabonis,Domantas Sabonis,SAC,2026-03-12T03:46:57.245706+00:00,https://en.wikipedia.org/wiki/Domantas_Sabonis
dominick barlow,Dominick Barlow,PHI,2026-03-12T22:57:32.043139+00:00,https://en.wikipedia.org/wiki/Dominick_Barlow
donovan clingan,Donovan Clingan,POR,2026-03-11T00:31:54.160041+00:00,https://en.wikipedia.org/wiki/Donovan_Clingan
donovan mitchell,Donovan Mitchell,CLE|UTA,2026-03-12T02:07:34.558900+00:00,https://en.wikipedia.org/wiki/Donovan_Mitchell
donte divincenzo,Donte DiVincenzo,MIN,2026-03-12T04:55:35.259378+00:00,https://en.wikipedia.org/wiki/Donte_DiVincenzo
dorian finney smith,Dorian Finney-Smith,BKN|DAL|HOU|LAC,2026-03-12T04:13:17.337228+00:00,https://en.wikipedia.org/wiki/Dorian_Finney-Smith
doug mcdermott,Doug McDermott,SAC,2026-03-12T04:10:08.812817+00:00,https://en.wikipedia.org/wiki/Doug_McDermott
drake powell,Drake Powell,BKN|CHA,2026-03-11T00:31:54.160041+00:00,https://en.wikipedia.org/wiki/Drake_Powell
draymond green,Draymond Green,,2026-03-11T04:34:25.398428+00:00,https://en.wikipedia.org/wiki/Draymond_Green
drew eubanks,Drew Eubanks,POR|SAC,2026-03-12T04:11:31.523295+00:00,https://en.wikipedia.org/wiki/Drew_Eubanks
drew peterson,Drew Peterson,CHI,2026-03-11T16:29:14.154896+00:00,https://en.wikipedia.org/wiki/Drew_Peterson
