game_date,game,team,opponent,player_name,lineup_status,market,projection,bet_higher_if_line_leq,bet_lower_if_line_geq,confidence_flag,historical_games_used
2026-03-05,GSW @ HOU,HOU,GSW,Kevin Durant,confirmed,PRA,37.71,35.5,40.0,high_confidence,59
2026-03-05,GSW @ HOU,HOU,GSW,Kevin Durant,confirmed,PTS,27.75,26.0,29.5,high_confidence,59
2026-03-05,LAL @ DEN,DEN,LAL,Jamal Murray,expected,PTS,27.22,25.5,29.0,high_confidence,59
2026-03-05,TOR @ MIN,MIN,TOR,Rudy Gobert,confirmed,PRA,22.81,20.5,25.0,high_confidence,59
2026-03-05,NOP @ SAC,SAC,NOP,Nique Clifford,expected,PRA,20.36,18.0,22.5,high_confidence,59
2026-03-05,NOP @ SAC,SAC,NOP,Nique Clifford,expected,PTS,11.49,9.5,13.0,high_confidence,59
2026-03-05,TOR @ MIN,MIN,TOR,Rudy Gobert,confirmed,REB,11.11,10.0,12.5,high_confidence,59
2026-03-05,TOR @ MIN,MIN,TOR,Rudy Gobert,confirmed,PTS,9.97,8.0,11.5,high_confidence,59
2026-03-05,LAL @ DEN,DEN,LAL,Jamal Murray,expected,AST,7.45,6.0,8.5,high_confidence,59
2026-03-05,GSW @ HOU,HOU,GSW,Kevin Durant,confirmed,REB,5.54,4.5,7.0,high_confidence,59
2026-03-05,NOP @ SAC,SAC,NOP,Nique Clifford,expected,REB,5.43,4.0,6.5,high_confidence,59
2026-03-05,LAL @ DEN,DEN,LAL,Jamal Murray,expected,REB,4.92,3.5,6.0,high_confidence,59
2026-03-05,GSW @ HOU,HOU,GSW,Kevin Durant,confirmed,AST,4.42,3.0,5.5,high_confidence,59
2026-03-05,NOP @ SAC,SAC,NOP,Nique Clifford,expected,AST,3.44,2.0,4.5,high_confidence,59
2026-03-05,LAL @ DEN,DEN,LAL,Jamal Murray,expected,3PM,3.4,2.5,4.0,high_confidence,59
2026-03-05,GSW @ HOU,HOU,GSW,Kevin Durant,confirmed,TO,2.85,2.0,3.5,high_confidence,59
2026-03-05,GSW @ HOU,HOU,GSW,Kevin Durant,confirmed,3PM,2.18,1.5,3.0,high_confidence,59
2026-03-05,NOP @ SAC,SAC,NOP,Nique Clifford,expected,TO,2.17,1.5,3.0,high_confidence,59
2026-03-05,NOP @ SAC,SAC,NOP,Nique Clifford,expected,STL,2.01,1.5,3.0,high_confidence,59
2026-03-05,TOR @ MIN,MIN,TOR,Rudy Gobert,confirmed,BLK,2.0,1.0,2.5,high_confidence,59
2026-03-05,LAL @ DEN,DEN,LAL,Jamal Murray,expected,TO,1.85,1.0,2.5,high_confidence,59
2026-03-05,TOR @ MIN,MIN,TOR,Rudy Gobert,confirmed,AST,1.73,0.5,3.0,high_confidence,59
2026-03-05,TOR @ MIN,MIN,TOR,Rudy Gobert,confirmed,TO,1.31,0.5,2.0,high_confidence,59
2026-03-05,NOP @ SAC,SAC,NOP,Nique Clifford,expected,3PM,1.14,0.5,2.0,high_confidence,59
2026-03-05,LAL @ DEN,DEN,LAL,Jamal Murray,expected,STL,0.88,,1.5,high_confidence,59
2026-03-05,TOR @ MIN,MIN,TOR,Rudy Gobert,confirmed,STL,0.86,,1.5,high_confidence,59
2026-03-05,NOP @ SAC,SAC,NOP,Nique Clifford,expected,BLK,0.83,,1.5,high_confidence,59
2026-03-05,GSW @ HOU,HOU,GSW,Kevin Durant,confirmed,BLK,0.81,,1.5,high_confidence,59
2026-03-05,GSW @ HOU,HOU,GSW,Kevin Durant,confirmed,STL,0.75,,1.5,high_confidence,59
2026-03-05,LAL @ DEN,DEN,LAL,Jamal Murray,expected,BLK,0.21,,1.0,high_confidence,59
2026-03-05,TOR @ MIN,MIN,TOR,Rudy Gobert,confirmed,3PM,0.03,,1.0,high_confidence,59
2026-03-05,GSW @ HOU,HOU,GSW,Amen Thompson,confirmed,PRA,31.5,29.0,33.5,high_confidence,58
2026-03-05,MIN @ TOR,TOR,MIN,Immanuel Quickley,confirmed,PRA,27.56,25.5,30.0,high_confidence,58
2026-03-05,NOP @ SAC,SAC,NOP,Russell Westbrook,expected,PRA,26.13,24.0,28.5,high_confidence,58
2026-03-05,DAL @ ORL,ORL,DAL,Anthony Black,confirmed,PRA,23.53,21.5,26.0,high_confidence,58
2026-03-05,GSW @ HOU,HOU,GSW,Amen Thompson,confirmed,PTS,18.51,17.0,20.5,high_confidence,58
2026-03-05,SAS @ DET,DET,SAS,Duncan Robinson,confirmed,PRA,18.45,16.0,20.5,high_confidence,58
2026-03-05,NOP @ SAC,SAC,NOP,Russell Westbrook,expected,PTS,16.82,15.0,18.5,high_confidence,58
2026-03-05,MIN @ TOR,TOR,MIN,Immanuel Quickley,confirmed,PTS,16.7,15.0,18.5,high_confidence,58
2026-03-05,DAL @ ORL,ORL,DAL,Anthony Black,confirmed,PTS,15.8,14.0,17.5,high_confidence,58
2026-03-05,SAS @ DET,DET,SAS,Duncan Robinson,confirmed,PTS,13.76,12.0,15.5,high_confidence,58
2026-03-05,GSW @ HOU,HOU,GSW,Amen Thompson,confirmed,REB,7.99,6.5,9.0,high_confidence,58
2026-03-05,MIN @ TOR,TOR,MIN,Immanuel Quickley,confirmed,AST,6.74,5.5,8.0,high_confidence,58
2026-03-05,GSW @ HOU,HOU,GSW,Amen Thompson,confirmed,AST,5.0,3.5,6.0,high_confidence,58
2026-03-05,NOP @ SAC,SAC,NOP,Russell Westbrook,expected,AST,4.74,3.5,6.0,high_confidence,58
2026-03-05,NOP @ SAC,SAC,NOP,Russell Westbrook,expected,REB,4.57,3.5,6.0,high_confidence,58
2026-03-05,DAL @ ORL,ORL,DAL,Anthony Black,confirmed,AST,4.12,3.0,5.5,high_confidence,58
2026-03-05,MIN @ TOR,TOR,MIN,Immanuel Quickley,confirmed,REB,4.12,3.0,5.5,high_confidence,58
2026-03-05,DAL @ ORL,ORL,DAL,Anthony Black,confirmed,REB,3.62,2.5,5.0,high_confidence,58
2026-03-05,NOP @ SAC,SAC,NOP,Russell Westbrook,expected,TO,3.3,2.5,4.0,high_confidence,58
2026-03-05,SAS @ DET,DET,SAS,Duncan Robinson,confirmed,3PM,2.94,2.0,3.5,high_confidence,58
2026-03-05,GSW @ HOU,HOU,GSW,Amen Thompson,confirmed,TO,2.68,2.0,3.5,high_confidence,58
2026-03-05,MIN @ TOR,TOR,MIN,Immanuel Quickley,confirmed,3PM,2.65,2.0,3.5,high_confidence,58
2026-03-05,SAS @ DET,DET,SAS,Duncan Robinson,confirmed,REB,2.65,1.5,4.0,high_confidence,58
2026-03-05,NOP @ SAC,SAC,NOP,Russell Westbrook,expected,3PM,2.16,1.5,3.0,high_confidence,58
2026-03-05,SAS @ DET,DET,SAS,Duncan Robinson,confirmed,AST,2.04,1.0,3.5,high_confidence,58
2026-03-05,MIN @ TOR,TOR,MIN,Immanuel Quickley,confirmed,TO,1.96,1.0,2.5,high_confidence,58
2026-03-05,DAL @ ORL,ORL,DAL,Anthony Black,confirmed,TO,1.83,1.0,2.5,high_confidence,58
2026-03-05,DAL @ ORL,ORL,DAL,Anthony Black,confirmed,3PM,1.65,1.0,2.5,high_confidence,58
2026-03-05,DAL @ ORL,ORL,DAL,Anthony Black,confirmed,STL,1.3,0.5,2.0,high_confidence,58
2026-03-05,GSW @ HOU,HOU,GSW,Amen Thompson,confirmed,STL,1.28,0.5,2.0,high_confidence,58
2026-03-05,NOP @ SAC,SAC,NOP,Russell Westbrook,expected,STL,1.25,0.5,2.0,high_confidence,58
2026-03-05,MIN @ TOR,TOR,MIN,Immanuel Quickley,confirmed,STL,1.15,0.5,2.0,high_confidence,58
2026-03-05,GSW @ HOU,HOU,GSW,Amen Thompson,confirmed,BLK,0.65,,1.5,high_confidence,58
2026-03-05,DAL @ ORL,ORL,DAL,Anthony Black,confirmed,BLK,0.62,,1.5,high_confidence,58
2026-03-05,SAS @ DET,DET,SAS,Duncan Robinson,confirmed,TO,0.62,,1.5,high_confidence,58
2026-03-05,SAS @ DET,DET,SAS,Duncan Robinson,confirmed,STL,0.57,,1.5,high_confidence,58
2026-03-05,SAS @ DET,DET,SAS,Duncan Robinson,confirmed,BLK,0.29,,1.0,high_confidence,58
2026-03-05,GSW @ HOU,HOU,GSW,Amen Thompson,confirmed,3PM,0.28,,1.0,high_confidence,58
2026-03-05,NOP @ SAC,SAC,NOP,Russell Westbrook,expected,BLK,0.15,,1.0,high_confidence,58
2026-03-05,MIN @ TOR,TOR,MIN,Immanuel Quickley,confirmed,BLK,0.09,,1.0,high_confidence,58
2026-03-05,DAL @ ORL,ORL,DAL,Wendell Carter Jr.,confirmed,PRA,23.27,21.0,25.5,high_confidence,57
2026-03-05,WAS @ UTA,UTA,WAS,Ace Bailey,confirmed,PRA,19.9,17.5,22.0,high_confidence,57
2026-03-05,GSW @ HOU,HOU,GSW,Jabari Smith Jr.,confirmed,PRA,19.62,17.5,22.0,high_confidence,57
2026-03-05,WAS @ UTA,UTA,WAS,Ace Bailey,confirmed,PTS,13.76,12.0,15.5,high_confidence,57
2026-03-05,GSW @ HOU,HOU,GSW,Jabari Smith Jr.,confirmed,PTS,11.84,10.0,13.5,high_confidence,57
2026-03-05,DAL @ ORL,ORL,DAL,Wendell Carter Jr.,confirmed,PTS,11.16,9.5,13.0,high_confidence,57
2026-03-05,DAL @ ORL,ORL,DAL,Wendell Carter Jr.,confirmed,REB,9.3,8.0,10.5,high_confidence,57
2026-03-05,GSW @ HOU,HOU,GSW,Jabari Smith Jr.,confirmed,REB,6.12,5.0,7.5,high_confidence,57
2026-03-05,WAS @ UTA,UTA,WAS,Ace Bailey,confirmed,REB,3.83,2.5,5.0,high_confidence,57
2026-03-05,DAL @ ORL,ORL,DAL,Wendell Carter Jr.,confirmed,AST,2.81,1.5,4.0,high_confidence,57
2026-03-05,WAS @ UTA,UTA,WAS,Ace Bailey,confirmed,AST,2.31,1.0,3.5,high_confidence,57
2026-03-05,GSW @ HOU,HOU,GSW,Jabari Smith Jr.,confirmed,3PM,1.94,1.0,2.5,high_confidence,57
2026-03-05,WAS @ UTA,UTA,WAS,Ace Bailey,confirmed,3PM,1.81,1.0,2.5,high_confidence,57
2026-03-05,DAL @ ORL,ORL,DAL,Wendell Carter Jr.,confirmed,TO,1.73,1.0,2.5,high_confidence,57
2026-03-05,GSW @ HOU,HOU,GSW,Jabari Smith Jr.,confirmed,AST,1.66,0.5,3.0,high_confidence,57
2026-03-05,WAS @ UTA,UTA,WAS,Ace Bailey,confirmed,TO,1.39,0.5,2.0,high_confidence,57
2026-03-05,GSW @ HOU,HOU,GSW,Jabari Smith Jr.,confirmed,TO,1.38,0.5,2.0,high_confidence,57
2026-03-05,WAS @ UTA,UTA,WAS,Ace Bailey,confirmed,STL,1.37,0.5,2.0,high_confidence,57
2026-03-05,GSW @ HOU,HOU,GSW,Jabari Smith Jr.,confirmed,BLK,0.93,,1.5,high_confidence,57
2026-03-05,GSW @ HOU,HOU,GSW,Jabari Smith Jr.,confirmed,STL,0.85,,1.5,high_confidence,57
2026-03-05,DAL @ ORL,ORL,DAL,Wendell Carter Jr.,confirmed,STL,0.83,,1.5,high_confidence,57
2026-03-05,DAL @ ORL,ORL,DAL,Wendell Carter Jr.,confirmed,3PM,0.62,,1.5,high_confidence,57
2026-03-05,DAL @ ORL,ORL,DAL,Wendell Carter Jr.,confirmed,BLK,0.59,,1.5,high_confidence,57
2026-03-05,WAS @ UTA,UTA,WAS,Ace Bailey,confirmed,BLK,0.47,,1.0,high_confidence,57
2026-03-05,SAS @ DET,DET,SAS,Cade Cunningham,confirmed,PRA,43.26,41.0,45.5,high_confidence,56
2026-03-05,SAC @ NOP,NOP,SAC,Saddiq Bey,expected,PRA,27.55,25.5,30.0,high_confidence,56
2026-03-05,SAS @ DET,DET,SAS,Cade Cunningham,confirmed,PTS,27.07,25.5,29.0,high_confidence,56
2026-03-05,BKN @ MIA,MIA,BKN,Andrew Wiggins,confirmed,PRA,23.96,21.5,26.0,high_confidence,56
2026-03-05,ORL @ DAL,DAL,ORL,Max Christie,confirmed,PRA,20.08,18.0,22.5,high_confidence,56
2026-03-05,SAC @ NOP,NOP,SAC,Saddiq Bey,expected,PTS,18.86,17.0,20.5,high_confidence,56
2026-03-05,SAS @ DET,DET,SAS,Ausar Thompson,confirmed,PRA,18.55,16.5,21.0,high_confidence,56
