player_name,team,opponent,starter,injury_status,confidence_tier,confidence_pct,adjusted_err_pct,error_margin_points,predicted_points,predicted_rebounds,predicted_assists,predicted_pra,predicted_draftkings_points,predicted_fanduel_points
Bismack Biyombo,SAS,DET,0.0,,low,50.97,49.03,0.65,1.33,1.0,0.37,2.7,3.74,3.85
Blake Hinson,UTA,WAS,0.0,,low,33.22,66.78,5.37,8.05,2.29,0.55,10.89,13.5,12.56
Bobi Klintman,DET,SAS,0.0,,low,23.55,76.45,1.08,1.42,1.94,0.44,3.8,4.94,4.73
Bones Hyland,MIN,TOR,0.0,,low,36.58,63.42,4.46,7.03,1.79,2.14,10.96,14.14,13.67
Brandin Podziemski,GSW,HOU,1.0,,medium,61.24,38.76,4.73,12.21,5.8,4.22,22.23,28.53,27.86
Brandon Ingram,TOR,MIN,1.0,Questionable,high,70.3,29.7,6.5,21.89,5.42,4.01,31.32,37.23,36.25
Brandon Williams,DAL,ORL,0.0,Questionable,low,29.6,70.4,9.52,13.52,3.08,4.29,20.89,25.41,25.2
Brice Sensabaugh,UTA,WAS,0.0,,low,44.24,55.76,7.75,13.9,3.49,1.65,19.04,22.48,21.48
Bronny James,LAL,DEN,0.0,,low,20.64,79.36,1.59,2.0,0.65,0.9,3.55,5.03,4.99
Bruce Brown,DEN,LAL,0.0,,low,51.6,48.4,3.09,6.39,3.78,2.79,12.96,17.61,17.78
Bryce McGowens,NOP,SAC,0.0,,low,28.21,71.79,6.09,8.49,2.0,1.52,12.0,15.07,15.05
Bub Carrington,WAS,UTA,0.0,,medium,67.37,32.63,2.85,8.74,4.11,5.93,18.78,24.12,22.46
Cade Cunningham,DET,SAS,1.0,,high,84.59,15.41,3.8,24.69,6.24,10.44,41.37,54.02,51.86
Caleb Martin,DAL,ORL,0.0,,low,13.97,86.03,4.52,5.25,2.99,1.43,9.68,12.69,12.99
Cameron Johnson,DEN,LAL,1.0,Questionable,low,54.17,45.83,5.77,12.59,3.57,2.24,18.4,22.99,22.61
Caris LeVert,DET,SAS,0.0,,medium,55.44,44.56,3.17,7.12,1.72,2.09,10.94,14.6,14.68
Carter Bryant,SAS,DET,0.0,,low,38.31,61.69,2.38,3.86,2.53,0.72,7.11,9.15,8.62
Chaz Lanier,DET,SAS,0.0,,low,24.7,75.3,1.95,2.59,0.69,0.56,3.84,4.97,4.79
Chris Mañon,LAL,DEN,0.0,,medium,60.91,39.09,0.42,1.07,0.55,0.27,1.89,3.68,4.32
Christian Braun,DEN,LAL,1.0,,medium,57.97,42.03,5.01,11.92,4.38,3.19,19.5,23.72,23.26
Clint Capela,HOU,GSW,0.0,,low,47.59,52.41,1.8,3.44,5.3,0.42,9.16,12.69,13.3
Cody Williams,UTA,WAS,1.0,,low,29.11,70.89,5.52,7.79,3.45,1.46,12.7,17.23,17.94
Colby Jones,DET,SAS,0.0,,high,95.0,5.0,0.1,1.9,4.0,1.96,7.86,9.89,9.66
Collin Gillespie,PHX,CHI,1.0,,high,72.2,27.8,4.17,14.99,4.02,6.23,25.24,33.66,32.29
Collin Sexton,CHI,PHX,1.0,,medium,65.81,34.19,5.02,14.68,3.51,2.96,21.15,26.26,25.57
Cooper Flagg,DAL,ORL,1.0,Questionable,medium,59.81,40.19,7.47,18.58,5.09,3.3,26.97,34.09,34.67
D'Angelo Russell,DAL,ORL,0.0,,low,34.38,65.62,5.29,8.07,2.11,2.89,13.06,15.55,14.55
DaRon Holmes II,DEN,LAL,0.0,,low,17.93,82.07,2.77,3.38,1.45,0.89,5.71,7.27,7.02
Daeqwon Plowden,SAC,NOP,0.0,,low,20.5,79.5,4.9,6.16,3.14,1.21,10.51,13.25,12.9
Dalton Knecht,LAL,DEN,0.0,,low,27.24,72.76,2.48,3.41,1.12,0.31,4.85,6.18,6.09
Daniel Gafford,DAL,ORL,1.0,,low,51.33,48.67,4.27,8.78,7.58,1.24,17.59,23.68,24.73
Daniss Jenkins,DET,SAS,0.0,,low,16.6,83.4,4.19,5.03,1.66,2.04,8.73,11.59,11.47
Danny Wolf,BKN,MIA,0.0,,low,34.57,65.43,5.55,8.48,5.3,2.68,16.46,21.14,20.66
Dario Šarić,SAC,NOP,0.0,,low,32.65,67.35,0.52,0.77,0.84,0.37,1.98,2.53,2.27
Davion Mitchell,MIA,BKN,1.0,Available,medium,62.5,37.5,3.14,8.37,2.61,6.37,17.36,23.79,23.76
Day'Ron Sharpe,BKN,MIA,0.0,,medium,59.74,40.26,3.2,7.94,6.75,2.2,16.89,22.06,22.41
De'Aaron Fox,SAS,DET,1.0,,high,73.92,26.08,5.1,19.54,3.42,5.57,28.53,34.49,33.61
De'Anthony Melton,GSW,HOU,1.0,,low,45.88,54.12,7.41,13.68,2.97,2.23,18.88,24.73,25.08
DeAndre Jordan,NOP,SAC,1.0,,medium,58.25,41.75,2.79,6.69,9.24,1.11,17.04,21.91,22.1
DeMar DeRozan,SAC,NOP,1.0,,high,70.58,29.42,5.24,17.83,3.44,4.75,26.02,30.67,30.23
Deandre Ayton,LAL,DEN,1.0,,medium,67.6,32.4,4.0,12.35,7.51,1.08,20.94,25.38,25.71
Derik Queen,NOP,SAC,0.0,,medium,63.14,36.86,3.6,9.76,6.27,3.2,19.23,25.09,25.4
